likes,dislikes,views,comment_count,category_id
411.19,10.9,13001.77,44.29,10
14.35,0.14,108.87,0.39,10
97.93,6.96,3344.7,12.17,10
10.82,0.07,53.24,1.22,10
17.36,0.17,396.41,5.65,10
50.08,0.21,753.86,4.87,10
411.19,10.9,13001.77,44.29,10
14.35,0.14,108.87,0.39,10
97.93,6.96,3344.7,12.17,10
10.82,0.07,53.24,1.22,10
24.62,3.97,489.89,5.15,10
13.89,0.08,220.04,0.72,10
92.65,0.91,1465.98,4.7,10
45.06,0.1,606.71,4.62,10
1.54,0.0,39.62,0.08,10
24.62,3.97,489.89,5.15,10
13.89,0.08,220.04,0.72,10
310.2,2.56,3854.09,33.73,10
33.99,0.32,456.23,3.11,10
66.9,26.03,3593.93,17.52,10
113.29,0.39,675.65,8.82,10
155.89,0.41,1246.86,11.02,10
9.51,0.41,561.17,3.34,10
62.01,0.47,1044.59,4.84,10
3.03,0.21,29.16,0.18,10
32.77,0.32,924.07,1.42,10
4.55,0.1,117.07,0.45,10
932.87,8.0,12739.79,35.99,10
310.2,2.56,3854.09,33.73,10
33.99,0.32,456.23,3.11,10
66.9,26.03,3593.93,17.52,10
1633.82,41.28,14319.3,158.36,10
22.02,5.62,775.2,4.44,10
19.28,0.17,221.58,0.99,10
13.8,0.77,439.46,1.33,10
1.75,0.02,72.63,0.14,10
426.56,6.47,3622.55,30.27,10
13.51,0.63,356.01,1.66,10
932.73,8.47,9060.53,47.17,10
49.87,0.82,990.17,4.14,10
65.0,0.33,781.4,2.89,10
740.09,13.73,11023.62,32.87,10
675.05,8.42,5943.38,56.25,10
1.49,0.0,46.28,0.09,10
1633.85,41.28,14319.3,158.36,10
22.02,5.62,775.2,4.44,10
19.28,0.17,221.58,0.99,10
13.8,0.77,439.46,1.33,10
1.75,0.02,72.63,0.14,10
186.89,3.09,1975.93,56.64,10
9.04,0.08,106.31,0.7,10
67.88,0.33,856.25,3.29,10
1362.4,24.58,12430.76,94.45,10
5.02,0.04,40.48,0.38,10
4.15,0.01,41.56,0.44,10
2.02,0.03,38.54,0.26,10
8.09,0.19,316.35,0.35,10
2155.1,58.57,30472.88,199.55,10
9.54,0.23,410.88,0.92,10
3.63,0.24,261.29,1.11,10
16.03,0.04,145.1,1.01,10
91.01,0.24,663.29,7.36,10
116.19,1.05,1991.18,12.48,10
40.86,0.41,926.03,1.65,10
186.89,3.09,1975.93,56.64,10
9.04,0.08,106.31,0.7,10
67.88,0.33,856.25,3.29,10
1362.41,24.58,12430.76,94.45,10
5.02,0.04,40.48,0.38,10
4.15,0.01,41.56,0.44,10
2.02,0.03,38.54,0.26,10
318.32,10.75,8075.46,90.12,10
329.66,0.97,2493.75,49.09,10
37.69,0.73,1440.85,1.05,10
1.43,0.05,71.2,0.18,10
23.29,0.38,490.96,5.15,10
4.84,0.22,324.94,1.14,10
18.96,2.73,764.59,5.72,10
2.81,0.09,98.55,0.27,10
318.32,10.75,8075.46,90.12,10
329.66,0.97,2493.75,49.09,10
37.69,0.73,1440.85,1.05,10
1.43,0.05,71.2,0.18,10
1.9,0.09,60.98,0.24,10
14.22,0.04,211.18,0.58,10
52.52,0.05,297.11,4.09,10
798.06,3.04,5549.6,70.25,10
7.0,0.09,73.66,0.49,10
15.94,0.51,431.59,5.12,10
48.78,0.14,590.61,5.37,10
10.94,1.06,1227.55,0.77,10
3227.56,12.3,19065.64,304.47,10
3.18,0.04,69.22,0.11,10
8.87,0.05,189.78,0.98,10
3.7,0.02,79.95,0.18,10
798.07,3.04,5549.6,70.25,10
7.0,0.09,73.66,0.49,10
15.94,0.51,431.59,5.12,10
63.04,0.81,638.3,6.78,10
1851.69,12.69,34216.7,149.84,10
165.01,2.76,1942.79,35.49,10
70.32,8.07,2063.05,12.99,10
3.57,0.14,39.34,0.33,10
2.76,0.74,164.73,0.32,10
6.06,0.14,160.51,0.28,10
2.2,0.01,21.06,0.29,10
0.0,0.0,76.85,0.0,10
52.2,0.31,662.14,2.79,10
8.3,0.01,56.85,0.34,10
16.65,0.49,396.14,2.55,10
63.05,0.81,638.3,6.78,10
1851.69,12.69,34216.7,149.84,10
165.01,2.76,1942.79,35.49,10
70.33,8.07,2063.05,12.99,10
3.57,0.14,39.34,0.33,10
2.76,0.74,164.73,0.32,10
6.06,0.14,160.51,0.28,10
134.0,3.45,2200.79,23.91,10
135.47,2.3,3401.62,13.78,10
42.82,0.22,304.14,3.48,10
5.1,0.1,77.54,0.24,10
2197.72,18.34,55459.34,170.77,10
0.86,0.05,217.7,0.1,10
113.43,21.6,6121.83,23.32,10
19.76,0.18,288.02,1.22,10
21.31,0.04,252.96,2.64,10
35.25,0.86,2893.84,1.2,10
9.89,0.44,607.08,3.66,10
11.74,0.14,317.5,4.03,10
7.48,0.43,583.51,1.52,10
9.86,2.0,456.2,1.45,10
134.0,3.45,2200.79,23.91,10
135.47,2.3,3401.62,13.78,10
42.82,0.22,304.14,3.48,10
74.4,8.32,2311.82,25.94,10
139.0,2.67,4371.05,20.41,10
36.0,0.14,652.9,3.55,10
74.72,0.82,1392.3,4.5,10
27.68,0.16,250.3,2.62,10
2.0,0.17,160.95,0.26,10
167.2,4.72,4586.31,27.61,10
18.59,0.08,359.11,1.28,10
4.82,0.15,185.56,0.21,10
20505.96,147.18,106953.28,3873.97,10
17.39,0.11,213.96,1.62,10
2.15,0.0,37.81,0.23,10
76.52,0.49,943.06,4.75,10
2.09,0.05,52.49,0.08,10
74.4,8.32,2311.82,25.94,10
139.0,2.67,4371.05,20.41,10
36.0,0.14,652.9,3.55,10
74.72,0.82,1392.3,4.5,10
63.36,1.61,1231.26,9.93,10
108.05,0.34,1482.4,11.94,10
21.94,0.39,863.99,2.07,10
5.9,0.09,164.35,0.31,10
2.29,4.89,77.87,1.17,10
65.43,0.25,709.5,7.51,10
1318.32,23.58,15137.99,113.72,10
5.97,0.33,385.85,2.15,10
2.08,0.08,60.83,0.15,10
121.5,13.79,5722.68,38.81,10
4.82,0.03,80.48,0.33,10
9.8,0.16,84.25,0.53,10
63.36,1.61,1231.26,9.93,10
108.05,0.34,1482.4,11.94,10
21.94,0.39,863.99,2.07,10
5.9,0.09,164.35,0.31,10
2.29,4.89,77.87,1.17,10
17.69,1.61,802.94,1.78,10
0.65,0.19,64.94,0.38,10
0.8,0.04,36.89,0.03,10
86.61,3.05,3363.43,9.84,10
12.91,0.26,284.33,1.21,10
10.53,0.94,415.15,0.66,10
19.72,0.64,655.66,1.66,10
3.42,0.08,199.33,0.32,10
138.59,0.65,2875.72,13.75,10
1.02,0.05,166.0,0.09,10
17.69,1.61,802.94,1.78,10
0.65,0.19,64.94,0.38,10
0.8,0.04,36.89,0.03,10
86.61,3.05,3363.43,9.84,10
12.91,0.26,284.33,1.21,10
10.53,0.94,415.15,0.66,10
341.06,6.21,8592.16,53.34,10
