likes,dislikes,views,comment_count,category_id
66.42,1.92,32994.54,3.03,10.0
705.08,77.29,33734.01,94.09,10.0
328.08,6.66,11506.66,33.66,10.0
38.99,1.79,4578.92,4.08,10.0
950.02,20.2,43995.06,0.0,10.0
3711.88,39.9,173998.06,253.13,10.0
94.4,1.87,2781.86,9.36,10.0
296.65,30.13,11734.59,45.82,10.0
225.04,90.78,12468.41,20.6,10.0
3327.6,131.22,236083.3,291.31,10.0
11.29,0.31,3257.69,1.59,10.0
90.93,4.25,53098.38,5.74,10.0
3.45,0.42,9827.51,0.16,10.0
732.21,82.08,35785.93,96.24,10.0
332.14,6.78,11840.42,34.31,10.0
39.67,1.79,4747.18,4.19,10.0
472.06,16.49,11576.31,23.8,10.0
3772.2,41.36,179897.85,256.01,10.0
95.33,1.88,2830.42,9.36,10.0
299.32,30.19,11881.17,46.12,10.0
225.38,90.79,12500.22,20.58,10.0
3334.91,131.84,238004.55,291.61,10.0
2001.7,5.41,21713.03,456.21,10.0
20.63,0.67,4374.66,3.12,10.0
100.41,4.89,69969.81,5.4,10.0
3.63,0.42,11033.39,0.17,10.0
745.84,84.77,36892.35,97.76,10.0
334.21,6.84,12033.51,34.81,10.0
40.02,1.82,4836.83,4.2,10.0
476.57,16.78,11845.18,24.05,10.0
3813.88,41.95,183899.05,258.13,10.0
96.14,1.9,2858.87,9.37,10.0
300.72,30.24,11962.12,46.29,10.0
3338.97,132.17,238939.91,291.8,10.0
549.17,11.77,11876.92,75.22,10.0
236.22,31.45,6609.11,41.7,10.0
2099.42,6.1,23866.14,473.54,10.0
27.55,0.96,4763.23,3.45,10.0
107.19,5.05,70703.45,5.67,10.0
3.75,0.43,11152.24,0.17,10.0
758.77,87.17,38014.65,99.22,10.0
40.46,1.83,4916.68,4.22,10.0
480.74,16.96,12049.07,24.1,10.0
3851.61,42.9,188035.48,261.21,10.0
96.56,1.92,2887.8,9.4,10.0
302.41,30.31,12052.22,46.49,10.0
122.69,5.68,1551.35,22.87,10.0
724.23,19.52,19270.42,96.16,10.0
313.62,42.97,9957.33,51.43,10.0
547.64,1.77,7553.67,36.53,10.0
2155.69,6.52,25316.24,440.73,10.0
31.0,1.08,4932.77,3.9,10.0
116.45,5.2,71386.4,5.9,10.0
3.83,0.44,11165.38,0.18,10.0
767.14,88.88,38762.75,101.14,10.0
